"id","idcircu","idlabel","electores","participacion","mesascircuito","pJXC","pFDT","pFIT","pLib","pjxccircu","pfdtcircu","plibcircu","pfitcircu","zdifjxc","zdiffdt","zdiflib","zdiffit","atipicas","atipicajxc","atipicafdt","atipicalib","atipicafit"
"0208000665000172X","0208000665","PBA",350,67.71,294,54.43,21.1,8.02,6.33,36.43,38.43,8.25,7.93,3.64804896123788,-3.27450025410146,-0.984700020067678,0.0464354379656682,1,1,1,0,0
"0208000669000359X","0208000669","PBA",350,78.57,101,57.93,15.5,7.01,12.55,51.15,25.87,9.09,7.31,1.61939219501019,-3.0266654764331,1.61380503510474,-0.166027203797725,1,0,1,0,0
"0208000669000375X","0208000669","PBA",350,73.71,101,56.64,26.56,9.77,1.56,51.15,25.87,9.09,7.31,1.31127775082684,0.201388541826309,-3.51212483073373,1.36142307114134,1,0,0,1,0
"0208000670000398X","0208000670","PBA",350,77.71,34,42.96,30.74,7.04,12.22,53.89,23.34,9.84,6.93,-3.29372742835541,2.54718583954048,1.18834472526695,0.0644748516841837,1,1,0,0,0
"0208000671000494X","0208000671","PBA",350,70.29,128,28.98,40.41,5.31,8.16,43.87,31.54,8.9,6.63,-3.18987150859938,1.92677479403984,-0.368704507972376,-0.747593905108708,1,1,0,0,0
"0208000672000570X","0208000672","PBA",350,89.43,102,62.21,21.5,5.21,6.84,50.99,26.83,8.74,6.69,3.03376597403173,-1.64275353011919,-0.846902271514168,-0.841556419637935,1,1,0,0,0
"0208000672000660X","0208000672","PBA",350,70.86,102,45.12,26.02,12.2,12.2,50.99,26.83,8.74,6.69,-1.58718415931963,-0.249649223151321,1.54225361023106,3.13309180554393,1,0,0,0,1
"0208000673000675X","0208000673","PBA",350,74.29,120,54.05,27.03,5.41,6.56,38.26,37.56,8.1,7.38,3.56789291761894,-2.51278708433955,-0.808212304930264,-1.02913935408266,1,1,0,0,0
"0208000673000739X","0208000673","PBA",350,75.71,120,33.97,38.93,4.2,14.12,38.26,37.56,8.1,7.38,-0.969364193577281,0.326924815341422,3.1593753738183,-1.66125032791009,1,0,0,1,0
"0208000673000762X","0208000673","PBA",350,71.71,120,34.14,43.78,8.84,2.01,38.26,37.56,8.1,7.38,-0.930951160265361,1.48428638790048,-3.19611229676968,0.762712414700857,1,0,0,1,0
"0208200686000168X","0208200686","PBA",350,71.43,181,48.39,19.76,8.87,7.66,49.18,21.09,6.24,3.76,-0.146761906482461,-0.361994524114612,0.8257513441925,3.49185293425911,1,0,0,0,1
"0208300696000042X","0208300696","PBA",350,73.14,97,41.34,32.68,5.91,5.91,55.73,22.99,6.11,4.52,-3.35034462338555,2.90620021869888,-0.115768531388719,1.04127532631582,1,1,0,0,0
"0208300696000046X","0208300696","PBA",350,71.43,97,49.59,19.11,7.72,11.38,55.73,22.99,6.11,4.52,-1.4295424591791,-1.16367975733247,3.05050080209275,2.39718060734577,1,0,0,1,0
"020870748B000129X","020870748B","PBA",350,67.71,43,46.67,35.56,4.44,5.78,51.75,25.46,7.6,4.55,-1.17280665454442,3.06037388835128,-1.15654934158371,-0.0847632676572686,1,0,1,0,0
"0208900768000049X","0208900768","PBA",350,75.14,62,33.72,33.72,5.36,17.62,30.42,45.98,8.81,5.85,0.701649551672412,-2.24104702049337,4.10051919249021,-0.292787858495853,1,0,0,1,0
"0208900771000425X","0208900771","PBA",350,73.71,40,22.66,46.88,12.11,7.81,24.99,51.35,7.18,7.05,-0.712634973686914,-1.08025700390294,0.350645720519421,3.38484323999363,1,0,0,0,1
"020890770F000383X","020890770F","PBA",350,49.43,39,29.24,29.82,14.62,9.36,22.22,54.54,6.73,7.07,2.01841739555922,-4.24814557723552,1.76061541301181,3.25110081808916,1,0,1,0,1
