"id","idcircu","idlabel","electores","participacion","mesascircuito","pJXC","pFDT","pFIT","pLib","pjxccircu","pfdtcircu","plibcircu","pfitcircu","zdifjxc","zdiffdt","zdiflib","zdiffit","atipicas","atipicajxc","atipicafdt","atipicalib","atipicafit"
"120060018A000573X","120060018A","La Rioja",346,69.08,73,53.74,29.96,6.17,5.73,34.16,48.08,6.83,6.34,3.08965108009509,,-0.424256106479834,-0.0985194022323522,1,1,,0,0
"120170055A000886X","120170055A","La Rioja",341,39.88,32,27.21,70.59,2.21,,10.6,42.56,1.1,1.1,3.3138689751008,1.5200394117854,,,1,1,0,,0
"130020025A000347X","130020025A","Mendoza",347,63.98,24,69.16,1.4,4.21,,61.38,13.22,0,4.46,2.50736320159618,-3.49525942901548,,-0.171411192096887,1,0,1,,0
"130020026A000453X","130020026A","Mendoza",350,60.29,87,60.1,0.49,10.84,,49.43,21.66,0,5.56,2.51819856898066,-4.94543552184672,,3.07730652192532,1,0,1,,1
"130020027B000672X","130020027B","Mendoza",349,68.77,85,36.91,34.33,5.58,,50.52,20.84,0,4.79,-2.61230141361132,3.76483245594157,,0.589052890199391,1,0,1,,0
"1300300032001321X","1300300032","Mendoza",348,72.7,82,3.64,19.43,3.64,,49.2,20.06,0,6.21,-6.7418043426953,-0.184040668717366,,-1.4346717132281,1,1,0,,0
"1300400034001449X","1300400034","Mendoza",349,72.21,76,34.57,32.1,3.29,,47.84,20.15,0,5.78,-3.39548524827262,3.42591775504122,,-1.50402176382904,1,1,1,,0
"1300600048002110X","1300600048","Mendoza",349,79.08,114,64.58,12.92,4.8,,45.94,25.46,0,4.34,3.52517485983996,-2.8344649007513,,0.369198821395701,1,1,0,,0
"1300700063002667X","1300700063","Mendoza",346,73.41,41,40.33,37.86,8.23,,44.6,23.94,0,6.9,-0.893503581946294,3.11865314625091,,1.0200220936459,1,0,1,,0
"1300700065002716X","1300700065","Mendoza",341,75.07,24,45.82,21.51,11.55,,32.89,28.02,0,11.29,3.30906162162974,-1.72587575391238,,0.131593355664191,1,1,0,,0
"1300800066002762X","1300800066","Mendoza",347,73.2,41,41.39,29.51,3.28,,44.71,18.97,0,2.86,-0.816664469300212,3.03010454213334,,0.368812092664644,1,0,1,,0
"1300900070002954X","1300900070","Mendoza",346,75.14,63,53.94,24.41,3.54,,38.1,34.32,0,4.6,3.37252494103821,-2.13462820777116,,-0.759134651704682,1,1,0,,0
"1301100084003245X","1301100084","Mendoza",346,76.59,77,29.62,33.85,4.62,,40.16,19.63,0,3.45,-1.98824707025579,3.68138026101017,,0.774267867666795,1,0,1,,0
"1301600110003899X","1301600110","Mendoza",347,75.5,29,24.12,47.08,3.89,,39.77,32.07,0,2.63,-2.81728245338653,3.51019195844171,,,1,0,1,,0
"1400100001000039X","1400100001","Misiones",248,69.35,39,68.26,18.56,,,62.4,8.38,0,0,1.43640818893173,4.13148727826894,,,1,0,1,,
"1400100002000048X","1400100002","Misiones",350,31.43,50,12.84,9.17,,,49.41,11.8,0,0,-5.35139895273805,-0.971696975573725,,,1,1,0,,
"1400100003000107X","1400100003","Misiones",350,72,52,44,8.8,,,57.23,8.46,0,0,-3.37278098188751,0.176434811167307,,,1,1,0,,
"1400100004000365X","1400100004","Misiones",350,67.71,189,44.16,35.5,,,50.99,9.43,0,0,-1.28315578587579,8.77996047663377,,,1,0,1,,
"1400100005000515X","1400100005","Misiones",350,69.14,51,48.95,15.61,,,55.54,9.02,0,0,-1.45522957603123,3.13338517268306,,,1,0,1,,
"1400100007000587X","1400100007","Misiones",350,64.57,88,43.84,1.37,,,46.28,10.17,0,0,-0.605433222822934,-3.59681643322909,,,1,0,1,,
"1400100007000643X","1400100007","Misiones",350,67.71,88,40.17,17.95,,,46.28,10.17,0,0,-1.51606434075743,3.17991271028663,,,1,0,1,,
"140010004A000440X","140010004A","Misiones",350,67.43,99,53.68,8.23,,,40,13.11,0,0,3.01356105973305,-1.73646048325042,,,1,1,0,,
"1400200011000910X","1400200011","Misiones",350,81.71,17,21.01,28.99,,,32.79,11.95,0,0,-2.13691660860301,3.30246083517453,,,1,0,1,,
"1400300015002748X","1400300015","Misiones",192,72.4,38,36.5,21.17,,,43.74,13.34,0,0,-1.53467692778556,3.01242648324441,,,1,0,1,,
"1400600032001160X","1400600032","Misiones",350,72.57,33,26.09,24.51,,,40.89,13.7,0,0,-2.23111582274906,3.12792268496457,,,1,0,1,,
"1400800044001400X","1400800044","Misiones",350,77.14,147,41.67,23.48,,,49.86,11.15,0,0,-0.840055724413178,3.2544748166245,,,1,0,1,,
"1400800048001544X","1400800048","Misiones",350,68.29,22,43.51,18.83,,,26.47,20.37,0,0,3.28987289336349,-0.436105879472913,,,1,1,0,,
"1401100062001878X","1401100062","Misiones",249,68.27,22,49.39,21.95,,,27.66,22.14,0,0,3.19712867086828,-0.0626957014613704,,,1,1,0,,
"1401200065001930X","1401200065","Misiones",350,73.71,53,33.33,44.44,,,41.7,13.75,0,0,-0.870398835578421,5.20143676467839,,,1,0,1,,
"140130059A002751X","140130059A","Misiones",272,73.53,109,19.7,51.01,,,34.76,31.07,0,0,-1.92466255527711,3.08097410258465,,,1,0,1,,
"1401600077002444X","1401600077","Misiones",350,52,39,63.19,3.85,,,31.81,17.19,0,0,4.21734679832121,-3.35609220006508,,,1,1,1,,
"1401600079002504X","1401600079","Misiones",350,55.43,17,66.32,,,,25.23,19.13,0,0,3.63702997472273,,,,1,1,,,
"1401600080002636X","1401600080","Misiones",350,58.86,122,46.57,25.98,,,50.57,11.24,0,0,-0.826642559188737,5.48628634900661,,,1,0,1,,
"1500100011000070X","1500100011","Neuquén",347,95.97,39,15.09,12.89,8.49,,29.15,13,0,8.33,-3.14407485185971,-0.060315076062856,,0.0824427879027374,1,1,0,,0
"1500100021000162X","1500100021","Neuquén",346,62.72,40,1.88,53.99,0.47,,44.24,15.09,0,5.08,-5.61723926316029,5.84788844582648,,-2.60893306940699,1,1,1,,0
"1500100046000428X","1500100046","Neuquén",348,79.89,128,29.04,16.18,11.76,,18.83,14.43,0,9.67,3.20217260522685,0.750739666335151,,1.02378644577377,1,1,0,,0
"1500100069000495X","1500100069","Neuquén",349,79.94,140,25.28,10.41,8.92,,15.15,14.23,0,11.58,3.69677982705735,-1.57512354099221,,-1.24440896842786,1,1,0,,0
"1500100069000569X","1500100069","Neuquén",349,82.23,140,14.86,22.1,9.78,,15.15,14.23,0,11.58,-0.105830814397496,3.24508436324835,,-0.842081256830885,1,0,1,,0
"1500100100000696X","1500100100","Neuquén",349,55.01,84,27.68,3.39,14.69,,20.1,32.17,0,10.14,1.95356396950385,-5.45199710025728,,2.0444609294936,1,0,1,,0
"1500100150000780X","1500100150","Neuquén",345,67.25,25,1.87,21.5,8.41,,17.81,17.44,0,9.18,-3.7919383162073,1.32336565792385,,-0.3461283063415,1,1,0,,0
"1500100180000926X","1500100180","Neuquén",349,75.07,91,31.05,15.32,6.05,,18.25,17.65,0,8.63,3.22791978341858,-0.700059443089533,,-1.03788644106052,1,1,0,,0
"1500200205001021X","1500200205","Neuquén",345,98.55,31,20,31.11,6.98,,21.12,17.27,0,7.66,-0.323257526531657,3.55047214508083,,-0.368385877181031,1,0,1,,0
"1600904127000642X","1600904127","Río Negro",338,92.31,14,30.54,25.84,5.7,,12.64,32.94,0,6.76,3.24651381799938,-1.4594848421025,,-0.800743829103534,1,1,0,,0
"1601100047000804X","1601100047","Río Negro",340,54.71,30,44.12,33.53,2.35,,28.06,24.29,0,2.77,3.14938040150465,2.47662920060682,,-0.363796707821911,1,1,0,,0
"1601200058000913X","1601200058","Río Negro",348,71.26,78,44.63,11.16,6.2,,30.92,23.28,0,10.07,2.15267326590291,-3.17545807997738,,-1.64566538623643,1,0,1,,0
"1601200069001633X","1601200069","Río Negro",350,56.57,49,3.41,31.82,2.84,,24.91,23.39,0,3.83,-4.61551665394467,2.12181535105805,,-0.749653599885223,1,1,0,,0
"1601206310001174X","1601206310","Río Negro",337,55.79,18,5.85,36.17,9.57,,26.58,28.13,0,6.12,-3.35334839538417,1.76350487376529,,2.38878397954375,1,1,0,,0
"170010001G001103X","170010001G","Salta",346,92.49,22,26.71,11.73,3.58,,43.94,12.43,0,4.26,-3.10471815443838,-0.253638175803692,,-0.417505008884613,1,1,0,,0
"170010003F001634X","170010003F","Salta",340,40,17,11.29,28.23,10.48,,29.27,18.78,0,7.47,-3.39759744740883,2.70527360363577,,1.54124184894212,1,1,0,,0
"170010003G001663X","170010003G","Salta",347,54.47,29,45.05,,6.59,,30.73,18.18,0,7.7,3.56130254699981,,,-0.780330419951362,1,1,,,0
"170010003I001710X","170010003I","Salta",346,84.1,49,36.19,27.61,5.97,,21.63,30.84,0,7.47,4.11472668121507,-0.778588033825129,,-0.444650979624067,1,1,0,,0
"170010004D001866X","170010004D","Salta",343,52.19,24,33.92,8.19,4.09,,21.03,29.79,0,5.97,2.6764696915707,-3.32753632300604,,-1.43300245517967,1,0,1,,0
"170010005D001951X","170010005D","Salta",349,64.18,34,43.9,1.95,5.85,,29.47,18.95,0,6.21,3.35231653215997,-3.95932078081106,,-0.214644494589254,1,1,1,,0
"170010005E002011X","170010005E","Salta",346,66.18,66,10.19,34.26,8.8,,18.8,33.18,0,6.11,-3.00250429813712,0.28774250326452,,1.50349975946925,1,1,0,,0
"170010005N002241X","170010005N","Salta",346,43.06,39,35.34,3.76,12.03,,16.6,33.86,0,7.8,4.65021678874459,,,1.47078072334653,1,1,,,0
"170030010A002341X","170030010A","Salta",350,47.71,15,57.06,5.52,5.52,,34.43,33.64,0,3.44,3.44991520906368,-3.38626661858896,,,1,1,1,,0
"170040015D002524X","170040015D","Salta",345,57.97,22,30.16,40.21,2.12,,34.89,29.13,0,2.66,-1.20854112569494,3.00094548676195,,-0.385542398484616,1,0,1,,0
"170050024A002642X","170050024A","Salta",345,36.23,46,57.02,,0.83,,28.74,43.8,0,2.72,4.11802644272916,,,-1.14176558339564,1,1,,,0
"170070031A002840X","170070031A","Salta",348,37.93,106,14.4,29.6,4.8,,34.6,28.65,0,2.98,-3.1130489125819,,,,1,1,0,,0
"170070031A002886X","170070031A","Salta",348,39.37,106,4.62,48.46,6.15,,34.6,28.65,0,2.98,-4.62025774253492,,,,1,1,,,0
"170070031B003000X","170070031B","Salta",349,51.29,76,20.11,42.53,4.02,,34.72,28.35,0,3.15,-2.86256014874706,3.37987431913755,,,1,0,1,,0
"170070034A003055X","170070034A","Salta",343,28.57,40,25.77,8.25,7.22,,18.83,45.16,0,2.6,1.44500891710414,-3.99037970283885,,,1,0,1,,0
"170070036B003117X","170070036B","Salta",348,52.87,55,13.59,75.54,1.09,,21.47,53.29,0,4.41,-1.71391961883404,3.46507667797943,,-1.58173800461444,1,0,1,,0
"170080043A003341X","170080043A","Salta",350,86,100,13.95,64.45,1,,26.28,37.68,0,2.35,-2.90938549547768,4.36087923573442,,-1.10170706631006,1,0,1,,0
"170080043A003362X","170080043A","Salta",348,56.03,100,12.37,60.31,1.55,,26.28,37.68,0,2.35,-3.28220212831262,3.68646608534442,,-0.652863446702257,1,1,1,,0
"170080044A003456X","170080044A","Salta",339,30.38,25,54.37,,1.94,,27.04,46.83,0,1.88,4.26723675643866,,,,1,1,,,0
"170080045A003520X","170080045A","Salta",345,17.97,60,60.34,,1.72,,27.82,49.79,0,2.56,3.54276981879052,,,,1,1,,,0
"170080045A003521X","170080045A","Salta",345,13.62,60,71.74,,2.17,,27.82,49.79,0,2.56,4.78470019807133,,,,1,1,,,0
"170110052A003623X","170110052A","Salta",337,67.36,23,20.55,27.4,4.11,,37.25,23.5,0,3.73,-3.00728592556347,1.08254014478993,,0.268443397578729,1,1,0,,0
"170210093A004122X","170210093A","Salta",343,50.15,30,13.61,30.77,2.96,,37.52,24.55,0,2.91,-3.55052246213897,1.36360819858118,,0.0307759386998737,1,1,0,,0
"1800200032000300X","1800200032","San Juan",350,79.43,27,14.71,73.53,3.31,,64.34,23.75,0,3.51,-4.76040074050609,4.8197715977481,,-0.175522691833698,1,1,1,,0
"1800300043000592X","1800300043","San Juan",341,74.19,18,64.52,21.77,5.24,,27.71,58.16,0,4.92,3.54827829359817,-3.47313121721997,,0.185384237738446,1,1,1,,0
"1800400045000636X","1800400045","San Juan",349,77.36,34,37.74,38.87,7.17,,53.37,30.46,0,5.7,-3.09318357807334,2.26584906580509,,0.931019407365439,1,1,0,,0
"1800400048000680X","1800400048","San Juan",344,81.98,52,75.91,13.87,3.28,,62.56,22.95,0,4.48,3.24673786594732,-2.66912675074121,,-0.861538135521612,1,1,0,,0
"1800400048000698X","1800400048","San Juan",344,79.94,52,52.59,33.7,4.81,,62.56,22.95,0,4.48,-2.42471734258388,3.16003442406036,,0.236922987268442,1,0,1,,0
"1800400049000739X","1800400049","San Juan",349,77.65,37,30.53,41.98,9.54,,46.72,36.36,0,5.64,-3.18222036896877,1.4564786477184,,,1,1,0,,0
"1800500053000823X","1800500053","San Juan",336,31.25,13,55.1,,14.29,,24.59,60.61,0,3.78,3.28908432073371,,,,1,1,,,
"1800600054000865X","1800600054","San Juan",346,70.52,71,46.41,40.08,5.91,,31.85,50.47,0,7.07,3.15637164352367,-2.3654849254366,,-0.56802333700467,1,1,0,,0
"1801200084001333X","1801200084","San Juan",344,47.09,40,73.58,,8.81,,41.75,42.46,0,6.03,4.33277076204887,,,1.49582902792684,1,1,,,0
"1900100003000502X","1900100003","San Luis",344,83.72,39,49.82,31.18,2.51,,45.45,40.76,0,2.2,1.33241041399477,-3.15016523674975,,0.317573872886015,1,0,1,,0
"1900303021000886X","1900303021","San Luis",338,89.94,22,39,55.33,2,,47.17,39.16,0,1.96,-1.93597061445628,3.10927993345584,,0.0465897052535984,1,0,1,,0
"2000700018000672X","2000700018","Santa Cruz",300,70,290,31.82,30.81,4.55,,48.19,20.67,0,5.64,-3.00257587759181,2.7834330528576,,-0.568146972463666,1,1,0,,0
"2000700018000811X","2000700018","Santa Cruz",300,76.33,290,18.1,47.51,6.33,,48.19,20.67,0,5.64,-5.51909029668526,7.36758808073945,,0.359652670642138,1,1,1,,0
"210010404A000068X","210010404A","Santa Fe",350,64.86,34,2.2,,46.7,2.2,43.99,23.36,2.92,3.02,-4.27499291120444,,-0.501673502304139,5.62353645685532,1,1,,0,1
"210020368A000206X","210020368A","Santa Fe",350,34.57,84,5.79,6.61,0.83,8.26,47.59,22.9,5.58,1.8,-4.89125039822384,-3.0728663433606,1.20880080485521,,1,1,1,0,0
"210030128A000450X","210030128A","Santa Fe",350,66,87,1.33,,50.44,1.33,45.31,28.96,3.57,1.91,-5.28828014123146,,-1.78839762192748,,1,1,,0,
"210030128D000666X","210030128D","Santa Fe",350,60.57,47,52.2,40.98,,3.41,53.11,24.27,3.26,1.35,-0.193030439496843,3.47637382079242,0.112747537658373,,1,0,1,0,
"210030134A000701X","210030134A","Santa Fe",350,36.57,20,5.69,48.78,1.63,15.45,39.19,34.5,6.21,3.25,-3.78659645952968,2.2691108405905,3.57063661246888,-1.31147345756752,1,1,0,1,0
"2100600394001212X","2100600394","Santa Fe",350,62,47,1.92,20.67,1.92,1.92,48.87,29.11,2.68,1.99,-5.48679435032991,-1.88682522644871,-0.61899870765045,,1,1,0,0,0
"210060390A001127X","210060390A","Santa Fe",350,90.86,50,32.91,25.24,0.96,27.8,40.16,34.52,2.82,1.67,-1.27470953964616,-1.57097208793715,6.60595251282268,-0.79963241718625,1,0,0,1,0
"210060399A001375X","210060399A","Santa Fe",350,51.43,54,55.75,4.6,3.45,6.32,50.98,23.02,3.66,2.3,1.02616034327611,-4.45213585764904,1.85093663753978,1.03379650315115,1,0,1,0,0
"210060399B001444X","210060399B","Santa Fe",350,49.43,45,63.19,,4.91,9.2,46.57,25.44,4.15,2.75,3.21154402143661,,2.65056709857742,1.56711793102383,1,1,,0,0
"2100700221001570X","2100700221","Santa Fe",350,78.86,21,0.75,29.48,4.1,,57.46,30.92,1.11,0.64,-3.3992074444719,-0.148401959062307,,,1,1,0,,0
"210070224C001669X","210070224C","Santa Fe",189,78.31,23,80.41,12.84,0.68,0.68,65.34,18.52,1.84,1.21,3.00790216072665,-1.47053539242705,,,1,1,0,0,0
"210070224E001765X","210070224E","Santa Fe",163,79.14,65,77.34,7.03,,1.56,55.87,27.23,2.95,0.89,3.01057168394489,-3.2755719613018,-1.09958659710783,,1,1,1,0,
"2100800408002068X","2100800408","Santa Fe",350,67.71,74,41.77,3.8,2.53,2.53,41.12,30.89,3.08,1.94,0.110718466644503,-4.46859694221453,-0.44071080126329,,1,0,1,0,0
"2100900007002278X","2100900007","Santa Fe",350,43.14,35,56.46,2.72,2.72,,34.26,25.78,9.01,2.23,3.85572174615125,-4.11928291908135,,,1,1,1,,0
"2100900008002292X","2100900008","Santa Fe",350,62,21,29.25,23.58,1.89,17.45,40.65,21.73,9.91,2.01,-2.34829096013509,0.496350141638637,3.04135484187295,-0.129403161272517,1,0,0,1,0
"2100900009002315X","2100900009","Santa Fe",350,78,23,43.7,25.19,1.85,5.93,56.07,14.31,5.06,1.78,-2.79402652005327,3.25423215466177,0.516142030114584,0.0694501035801211,1,0,1,0,0
"2100900011002353X","2100900011","Santa Fe",350,39.71,22,9.3,33.33,5.43,13.18,45.41,19.24,7.12,2.19,-4.08811507758016,3.55010300707868,3.03269912176517,2.77257536052894,1,1,1,1,0
"2100900012002407X","2100900012","Santa Fe",350,44.86,25,18.12,30.87,4.03,10.74,50.71,16.93,5.58,2.16,-4.09645018885609,3.33138792287343,2.51915089087655,,1,1,1,0,0
"2100900013002431X","2100900013","Santa Fe",350,71.43,47,38.84,20.66,1.24,13.64,44.99,19.62,7.37,2.17,-1.65093880903408,0.316544942403134,3.32318471683593,-0.880659140512425,1,0,0,1,0
"2100900014002506X","2100900014","Santa Fe",350,65.71,69,20.54,40.18,2.23,9.38,31.82,25.08,11.2,2.13,-1.9848984338141,3.55701337957088,-0.603871499726889,,1,0,1,0,0
"2100900015002564X","2100900015","Santa Fe",350,64.57,70,17.84,4.23,3.29,13.62,22.03,30.06,14.94,2.72,-0.913288868968745,-4.34003527996897,-0.481572969271006,0.468380148510144,1,0,1,0,0
"2100900015002579X","2100900015","Santa Fe",350,57.14,70,18.09,1.6,1.6,17.55,22.03,30.06,14.94,2.72,-0.858796693015956,-4.78193589113113,0.952201098331308,-0.920325905844493,1,0,1,0,0
"2100900015002601X","2100900015","Santa Fe",350,69.71,70,39.13,22.61,4.35,13.91,22.03,30.06,14.94,2.72,3.72726483517077,-1.25177169321598,-0.375772847234194,1.33940288082725,1,1,0,0,0
"2100900015002610X","2100900015","Santa Fe",350,47.14,70,0.65,44.16,2.6,19.48,22.03,30.06,14.94,2.72,-4.66017088748252,2.36912494957656,1.65631915188664,-0.0986063470547672,1,1,0,0,0
"2100900015002611X","2100900015","Santa Fe",350,52,70,17.24,33.91,2.3,23.56,22.03,30.06,14.94,2.72,-1.04407009125544,0.646888727366649,3.14481742054248,-0.345122214691685,1,0,0,1,0
"2100900016002782X","2100900016","Santa Fe",350,46,184,1.33,43.33,2,19.33,27.76,28,13.7,2.07,-5.40421506672962,3.4540528509738,2.02729273889112,,1,1,1,0,0
"2100900019002880X","2100900019","Santa Fe",350,40,78,11.36,31.06,1.52,12.88,44.76,20.06,8.67,1.95,-4.19565183596564,2.56778902794529,1.78459513227646,,1,1,0,0,0
"2100900019002889X","2100900019","Santa Fe",350,39.14,78,1.5,39.1,3.01,17.29,44.76,20.06,8.67,1.95,-5.4342484558046,4.44460937200711,3.65396913069431,,1,1,1,1,0
"2100900020002948X","2100900020","Santa Fe",350,58.86,64,59.09,1.01,1.52,10.61,42.81,21.47,10.18,1.98,2.89073023216001,-3.97450575310629,0.169198877297144,-0.512664248306517,1,0,1,0,0
"2100900020002975X","2100900020","Santa Fe",350,70,64,47.48,2.94,2.1,8.4,42.81,21.47,10.18,1.98,0.829220527284228,-3.59958903250536,-0.700404654857944,0.133738499558222,1,0,1,0,0
"2100900027003249X","2100900027","Santa Fe",126,76.98,32,48.42,28.42,,2.11,30.74,33.1,6.33,1.87,3.61227358924257,-0.818840999347423,-2.30844719218145,,1,1,0,0,
"2100900032003296X","2100900032","Santa Fe",350,54.86,87,56.68,25.13,,,40,21.14,10.26,2.16,3.18803622500673,1.14372570342064,,,1,1,0,,
"210090011A002398X","210090011A","Santa Fe",350,44.57,27,23.29,15.07,2.05,23.29,18.13,34.09,14.91,2.4,1.2834379447887,-3.15664154232125,2.4738438376254,,1,0,1,0,0
"210090020A003007X","210090020A","Santa Fe",350,65.71,71,2.28,24.66,44.29,14.16,41.33,22.09,10.09,2.51,-4.878867169071,0.732071661675033,1.46620791857206,,1,1,0,0,
"210090020A003011X","210090020A","Santa Fe",350,45.43,71,4.67,34,3.33,22,41.33,22.09,10.09,2.51,-4.58026300686665,3.39259668892982,4.29054946196394,,1,1,1,1,0
"2101100053003564X","2101100053","Santa Fe",350,82.86,15,0.35,0.69,69.2,2.77,63.4,10.42,4.22,5.67,-3.39218322801225,-2.44278241760055,-0.879088994025557,,1,1,0,0,
"2101100055003582X","2101100055","Santa Fe",350,65.71,99,44.44,23.56,2.22,10.22,56.98,18.21,5.16,1.43,-1.59570168561888,1.25043731941172,3.2486102676911,,1,0,0,1,0
"2101100055003598X","2101100055","Santa Fe",350,73.43,99,1.62,1.62,8.5,2.02,56.98,18.21,5.16,1.43,-7.04450122136053,-3.87752432318513,-2.01593601591898,,1,1,1,0,
"2101200285003785X","2101200285","Santa Fe",350,41.43,42,5.22,58.21,2.24,3.73,41.61,37.07,2.55,1.17,-4.51476811994413,3.34879438074021,1.14639039440707,,1,1,1,0,0
"2101300307003939X","2101300307","Santa Fe",350,45.71,18,20.65,30.97,2.58,2.58,49.09,15.78,1.26,1.73,-3.45515063514488,3.43922745062071,1.96628028811147,0.974379390247915,1,1,1,0,0
"2101300329004252X","2101300329","Santa Fe",350,50.86,43,2.25,7.3,3.37,3.93,35.27,23.65,1.62,2.5,-5.25703453335519,-4.00072541619449,,0.918229870864095,1,1,1,0,0
"2101300347004901X","2101300347","Santa Fe",350,47.71,199,30.77,13.46,3.85,3.85,28.97,32.51,2.24,3.17,0.404297425951922,-3.68058432793395,,0.566315859166501,1,0,1,0,0
"2101300349005336X","2101300349","Santa Fe",350,66.57,83,41.67,21.49,1.32,1.75,26.46,34.98,2.07,2.97,3.23953382083682,,,-1.33252904945029,1,1,,0,0
"2101300352005666X","2101300352","Santa Fe",350,70.29,79,29.06,38.03,0.85,0.85,45.15,25.47,1.89,1.53,-3.04056133775117,2.65718978432019,,-0.81185820821208,1,1,0,0,0
"2101300352005743X","2101300352","Santa Fe",120,78.33,79,63.04,18.48,3.26,2.17,45.15,25.47,1.89,1.53,3.38071114557914,-1.47880227646482,,2.06546279442191,1,1,0,0,0
"2101300353005769X","2101300353","Santa Fe",350,61.43,83,24.19,2.33,3.26,2.79,22.37,41.18,2.52,3.09,0.393528279352825,-5.70265921749207,0.243958937944795,,1,0,1,0,0
"2101300354005996X","2101300354","Santa Fe",350,58,56,2.6,56.25,2.6,2.6,18.63,45.12,2.25,3.35,-4.4399175849335,2.22359545213564,,-0.631531492843738,1,1,0,0,0
"2101300358006263X","2101300358","Santa Fe",350,63.43,42,21.56,49.08,2.29,2.29,33.63,28.25,1.7,2.86,-2.56563124418584,3.95171784699389,0.813688042247344,-0.407187956365285,1,0,1,0,0
"210130345A004889X","210130345A","Santa Fe",350,80.29,13,45.88,2.87,2.15,1.08,33.16,47.43,1.71,2.12,2.28440433916798,-3.14770158069631,,0.0372666568101738,1,0,1,0,0
"210130349A005487X","210130349A","Santa Fe",350,59.14,153,1.54,34.36,4.1,2.05,21.09,42.04,2.48,3.1,-4.31500795802703,-1.34412899863737,,,1,1,0,0,0
"210130349B005624X","210130349B","Santa Fe",350,31.71,74,33.64,,8.18,3.64,14.48,53.33,2.21,2.85,5.04868249168432,,,3.16306292090515,1,1,,0,1
"210130353A005884X","210130353A","Santa Fe",350,75.14,117,32.42,26.56,14.45,1.17,37.03,28.73,2.14,2.96,-0.694852801281159,-0.335316403299274,,7.09066805270099,1,0,0,0,1
"210130353A005901X","210130353A","Santa Fe",350,53.43,117,54.7,2.76,2.21,1.66,37.03,28.73,2.14,2.96,2.66335119276314,-4.01298018142034,,-0.462837340254634,1,0,1,0,0
"210130353A005905X","210130353A","Santa Fe",350,46.86,117,50,3.75,3.12,2.5,37.03,28.73,2.14,2.96,1.95493293549168,-3.86000173014556,,0.0987386325876554,1,0,1,0,0
"210130356A006227X","210130356A","Santa Fe",350,84.29,27,10.17,33.56,2.03,29.49,13.98,52.49,3.78,2.27,-1.13481411012183,-3.17846106583033,4.86707066972515,-0.203610649227512,1,0,1,1,0
"210130359A006514X","210130359A","Santa Fe",350,59.14,109,14.14,59.6,4.04,2.02,21.57,40.23,2.58,3.26,-1.5371759512162,3.16059420615334,-0.49424453829979,0.345516196388623,1,0,1,0,0
"210130359A006541X","210130359A","Santa Fe",350,70.29,109,2.12,45.34,22.03,1.69,21.57,40.23,2.58,3.26,-4.02396665560635,0.83379640647618,-0.785495784083594,8.31453718745442,1,1,0,0,1
"210130362E006704X","210130362E","Santa Fe",350,37.43,71,40.5,,3.31,6.61,20.21,42.98,3.42,3.05,4.20929390918795,,1.98864494172508,0.181766262418201,1,1,,0,0
"210130362F006818X","210130362F","Santa Fe",350,58,55,6.15,3.08,3.59,3.08,13.21,49.87,4.4,2.99,-2.36569573258573,-6.16902169294089,-0.776163088431516,,1,0,1,0,0
"210130362F006823X","210130362F","Santa Fe",350,62.57,55,11.48,46.41,2.87,9.57,13.21,49.87,4.4,2.99,-0.57969597979792,-0.456183266885563,3.03997209635677,,1,0,0,1,0
"2101600188006966X","2101600188","Santa Fe",350,50.29,22,73.94,,3.03,4.24,51.86,29.94,2.59,1.68,3.23485825195888,,,,1,1,,0,0
"2101700277007100X","2101700277","Santa Fe",350,45.14,22,72.3,5.41,2.03,2.7,48.7,34.55,1.53,0.97,3.20179125940313,-3.5755564712735,,,1,1,1,0,0
"2102000416007486X","2102000416","Santa Fe",178,76.4,42,43.38,0.74,2.21,1.47,36.54,34.94,3.6,1.78,1.38241218244299,-4.58001783905735,-1.5680760203401,,1,0,1,0,0
"2102000420007530X","2102000420","Santa Fe",350,72,41,0.85,36.86,3.81,2.54,25.31,39.71,3.58,4.07,-4.31532945483949,-0.373131147109625,-0.725210767676038,-0.219533988289712,1,1,0,0,0
"2102000420007542X","2102000420","Santa Fe",350,39.43,41,41.3,0.72,5.07,6.52,25.31,39.71,3.58,4.07,2.8210187237483,-5.1046959388787,2.05011505477649,0.844361493421968,1,0,1,0,0
"2102000421007635X","2102000421","Santa Fe",350,79.14,47,17.98,50.94,0.75,10.49,22.09,49.18,5.19,1.96,-1.12986766216863,0.399092126717515,3.38556633065723,,1,0,0,1,0
"2102000421007663X","2102000421","Santa Fe",350,78.29,47,33.58,40.38,1.13,5.28,22.09,49.18,5.19,1.96,3.15868112854443,-1.99546063358758,0.0574907490111603,,1,1,0,0,0
"210200420A007584X","210200420A","Santa Fe",350,51.71,71,29.34,11.98,5.39,5.39,30.74,32.63,3.59,4.02,-0.310307267780869,-3.21800865557739,1.29397275953649,0.929466101661595,1,0,1,0,0
"210200420A007586X","210200420A","Santa Fe",350,64.57,71,25.12,6.05,4.65,1.4,30.74,32.63,3.59,4.02,-1.24566203209178,-4.14211477313545,-1.57433352410272,0.42741871828234,1,0,1,0,0
"210200425A007792X","210200425A","Santa Fe",350,73.71,112,51.95,19.92,1.56,1.95,33.75,29.87,3.93,2.75,3.55644186717062,-1.9388301915172,-1.34216886735624,-1.08973807840596,1,1,0,0,0
